,reactionId,compartment,r ; p,ratelaw
1546,vRP31_12,Cytoplasm,cyt_prot__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_ ; cyt_mixed__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_,kRP31_12_1*cyt_prot__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4__P3C2A_*cyt_comp__PIP_
1547,vRP31_13,Cytoplasm,cyt_prot__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_ ; cyt_mixed__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_,kRP31_13_1*cyt_prot__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_*cyt_comp__PIP_
1548,vRP31_14,Cytoplasm,cyt_prot__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_ ; cyt_mixed__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_,kRP31_14_1*cyt_prot__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_*cyt_comp__PIP_
1549,vRP31_15,Cytoplasm,cyt_prot__p_NRG1__ERBB4__EGFRvIII__PIK3C2A_ + cyt_comp__PIP_ ; cyt_mixed__p_NRG1__ERBB4__EGFRvIII__PIK3C2A__PIP_,kRP31_15_1*cyt_prot__p_NRG1__ERBB4__EGFRvIII__PIK3C2A_*cyt_comp__PIP_
1550,vRP31_16,Cytoplasm,cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_ ; cyt_mixed__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_,kRP31_16_1*cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_*cyt_comp__PIP_
1551,vRP31_17,Cytoplasm,cyt_prot__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_ ; cyt_mixed__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_,kRP31_17_1*cyt_prot__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_*cyt_comp__PIP_
1552,vRP31_18,Cytoplasm,cyt_prot__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_ ; cyt_mixed__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_,kRP31_18_1*cyt_prot__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A_*cyt_comp__PIP_
1553,vRP31_19,Cytoplasm,cyt_prot__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_ ; cyt_mixed__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_,kRP31_19_1*cyt_prot__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A_*cyt_comp__PIP_
1554,vRP31_20,Cytoplasm,cyt_prot__HGF__pY1234_pY1235_pY1234_pY1235_MET__pY1234_pY1235_pY1234_pY1235_MET__P3C2A_ + cyt_comp__PIP_ ; cyt_mixed__HGF__pY1234_pY1235_pY1234_pY1235_MET__pY1234_pY1235_pY1234_pY1235_MET__P3C2A__PIP_,kRP31_20_1*cyt_prot__HGF__pY1234_pY1235_pY1234_pY1235_MET__pY1234_pY1235_pY1234_pY1235_MET__P3C2A_*cyt_comp__PIP_
1555,vRP31_21,Cytoplasm,cyt_prot__HGF__pY1234_pY1235_pY1234_pY1235_MET__HGF__pY1234_pY1235_pY1234_pY1235_MET__P3C2A_ + cyt_comp__PIP_ ; cyt_mixed__HGF__pY1234_pY1235_pY1234_pY1235_MET__HGF__pY1234_pY1235_pY1234_pY1235_MET__P3C2A__PIP_,kRP31_21_1*cyt_prot__HGF__pY1234_pY1235_pY1234_pY1235_MET__HGF__pY1234_pY1235_pY1234_pY1235_MET__P3C2A_*cyt_comp__PIP_
1556,vRP31_22,Cytoplasm,cyt_cong__PDGFB__PGFRB__PDGFB__PGFRB__P3C2A_ + cyt_comp__PIP_ ; cyt_cong__PDGFB__PGFRB__PDGFB__PGFRB__P3C2A__PIP_,kRP31_22_1*cyt_cong__PDGFB__PGFRB__PDGFB__PGFRB__P3C2A_*cyt_comp__PIP_
1557,vRP31_23,Cytoplasm,cyt_cong__PDGFB__PGFRB__PGFRB__P3C2A_ + cyt_comp__PIP_ ; cyt_cong__PGFRB__PGFRB__PGFRB__P3C2A__PIP_,kRP31_23_1*cyt_cong__PDGFB__PGFRB__PGFRB__P3C2A_*cyt_comp__PIP_
1558,vRP31_24,Cytoplasm,cyt_cong__FGF__FGFR__FGF__FGFR__P3C2A_ + cyt_comp__PIP_ ; cyt_mixed__FGF__FGFR__FGF__FGFR__P3C2A__PIP_,kRP31_24_1*cyt_cong__FGF__FGFR__FGF__FGFR__P3C2A_*cyt_comp__PIP_
1559,vRP31_25,Cytoplasm,cyt_cong__FGF__FGFR__FGFR__P3C2A_ + cyt_comp__PIP_ ; cyt_mixed__FGF__FGFR__FGFR__P3C2A__PIP_,kRP31_25_1*cyt_cong__FGF__FGFR__FGFR__P3C2A_*cyt_comp__PIP_
1560,vRP31_26,Cytoplasm,cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IRS__P3C2A_ + cyt_comp__PIP_ ; cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IRS__P3C2A__PIP_,kRP31_26_1*cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IRS__P3C2A_*cyt_comp__PIP_
1561,vRP31_27,Cytoplasm,cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__IRS__P3C2A_ + cyt_comp__PIP_ ; cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__IRS__P3C2A__PIP_,kRP31_27_1*cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__IRS__P3C2A_*cyt_comp__PIP_
1562,vRP31_28,Cytoplasm,cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS__P3C2A_ + cyt_comp__PIP_ ; cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS__P3C2A__PIP_,kRP31_28_1*cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS__P3C2A_*cyt_comp__PIP_
1563,vRP31_29,Cytoplasm,cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS__P3C2A_ + cyt_comp__PIP_ ; cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS__P3C2A__PIP_,kRP31_29_1*cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS__P3C2A_*cyt_comp__PIP_
1564,vRP32_1,Cytoplasm,cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1196_pY1222_pY1248_ERBB2__P3C2A__PIP_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1196_pY1222_pY1248_ERBB2__P3C2A_ + cyt_comp__PIP_,kRP32_1_1*cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1196_pY1222_pY1248_ERBB2__P3C2A__PIP_
1565,vRP32_2,Cytoplasm,cyt_mixed__p_EGF__EGFR__EGFRvIII__PIK3C2A__PIP_ ; cyt_prot__p_EGF__EGFR__EGFRvIII__PIK3C2A_ + cyt_comp__PIP_,kRP32_2_1*cyt_mixed__p_EGF__EGFR__EGFRvIII__PIK3C2A__PIP_
1566,vRP32_3,Cytoplasm,cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__P3C2A__PIP_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__P3C2A_ + cyt_comp__PIP_,kRP32_3_1*cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__P3C2A__PIP_
1567,vRP32_4,Cytoplasm,cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__P3C2A__PIP_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__P3C2A_ + cyt_comp__PIP_,kRP32_4_1*cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__EGF__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR__P3C2A__PIP_
1568,vRP32_5,Cytoplasm,cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__ERBB3__P3C2A__PIP_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__ERBB3__P3C2A_ + cyt_comp__PIP_,kRP32_5_1*cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__ERBB3__P3C2A__PIP_
1569,vRP32_6,Cytoplasm,cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__P3C2A__PIP_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__P3C2A_ + cyt_comp__PIP_,kRP32_6_1*cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__P3C2A__PIP_
1570,vRP32_7,Cytoplasm,cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_,kRP32_7_1*cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_
1571,vRP32_8,Cytoplasm,cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_ ; cyt_prot__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_,kRP32_8_1*cyt_mixed__EGF__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_
1572,vRP32_9,Cytoplasm,cyt_mixed__pY1196_pY1222_pY1248_ERBB2__NRG1__ERBB3__P3C2A__PIP_ ; cyt_prot__pY1196_pY1222_pY1248_ERBB2__NRG1__ERBB3__P3C2A_ + cyt_comp__PIP_,kRP32_9_1*cyt_mixed__pY1196_pY1222_pY1248_ERBB2__NRG1__ERBB3__P3C2A__PIP_
1573,vRP32_10,Cytoplasm,cyt_mixed__p_NRG1__ERBB3__EGFRvIII__PIK3C2A__PIP_ ; cyt_prot__p_NRG1__ERBB3__EGFRvIII__PIK3C2A_ + cyt_comp__PIP_,kRP32_10_1*cyt_mixed__p_NRG1__ERBB3__EGFRvIII__PIK3C2A__PIP_
1574,vRP32_11,Cytoplasm,cyt_mixed__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__P3C2A__PIP_ ; cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__P3C2A_ + cyt_comp__PIP_,kRP32_11_1*cyt_mixed__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__ERBB3__P3C2A__PIP_
1575,vRP32_12,Cytoplasm,cyt_mixed__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_ ; cyt_prot__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_,kRP32_12_1*cyt_mixed__NRG1__ERBB3__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_
1576,vRP32_13,Cytoplasm,cyt_mixed__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_ ; cyt_prot__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_,kRP32_13_1*cyt_mixed__NRG1__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_
1577,vRP32_14,Cytoplasm,cyt_mixed__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_ ; cyt_prot__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_,kRP32_14_1*cyt_mixed__pY1196_pY1222_pY1248_ERBB2__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_
1578,vRP32_15,Cytoplasm,cyt_mixed__p_NRG1__ERBB4__EGFRvIII__PIK3C2A__PIP_ ; cyt_prot__p_NRG1__ERBB4__EGFRvIII__PIK3C2A_ + cyt_comp__PIP_,kRP32_15_1*cyt_mixed__p_NRG1__ERBB4__EGFRvIII__PIK3C2A__PIP_
1579,vRP32_16,Cytoplasm,cyt_mixed__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_ ; cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_,kRP32_16_1*cyt_mixed__pY992_pY1068_pY1086_pY1148_pY1174_EGFR__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_
1580,vRP32_17,Cytoplasm,cyt_mixed__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_ ; cyt_prot__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_,kRP32_17_1*cyt_mixed__ERBB3__NRG1__pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_
1581,vRP32_18,Cytoplasm,cyt_mixed__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_ ; cyt_prot__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_,kRP32_18_1*cyt_mixed__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_
1582,vRP32_19,Cytoplasm,cyt_mixed__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_ ; cyt_prot__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A_ + cyt_comp__PIP_,kRP32_19_1*cyt_mixed__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__NRG1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4__P3C2A__PIP_
1583,vRP32_20,Cytoplasm,cyt_mixed__HGF__pY1234_pY1235_pY1234_pY1235_MET__pY1234_pY1235_pY1234_pY1235_MET__P3C2A__PIP_ ; cyt_prot__HGF__pY1234_pY1235_pY1234_pY1235_MET__pY1234_pY1235_pY1234_pY1235_MET__P3C2A_ + cyt_comp__PIP_,kRP32_20_1*cyt_mixed__HGF__pY1234_pY1235_pY1234_pY1235_MET__pY1234_pY1235_pY1234_pY1235_MET__P3C2A__PIP_
1584,vRP32_21,Cytoplasm,cyt_mixed__HGF__pY1234_pY1235_pY1234_pY1235_MET__HGF__pY1234_pY1235_pY1234_pY1235_MET__P3C2A__PIP_ ; cyt_prot__HGF__pY1234_pY1235_pY1234_pY1235_MET__HGF__pY1234_pY1235_pY1234_pY1235_MET__P3C2A_ + cyt_comp__PIP_,kRP32_21_1*cyt_mixed__HGF__pY1234_pY1235_pY1234_pY1235_MET__HGF__pY1234_pY1235_pY1234_pY1235_MET__P3C2A__PIP_
1585,vRP32_22,Cytoplasm,cyt_cong__PDGFB__PGFRB__PDGFB__PGFRB__P3C2A__PIP_ ; cyt_cong__PDGFB__PGFRB__PDGFB__PGFRB__P3C2A_ + cyt_comp__PIP_,kRP32_22_1*cyt_cong__PDGFB__PGFRB__PDGFB__PGFRB__P3C2A__PIP_
1586,vRP32_23,Cytoplasm,cyt_cong__PGFRB__PGFRB__PGFRB__P3C2A__PIP_ ; cyt_cong__PDGFB__PGFRB__PGFRB__P3C2A_ + cyt_comp__PIP_,kRP32_23_1*cyt_cong__PGFRB__PGFRB__PGFRB__P3C2A__PIP_
1587,vRP32_24,Cytoplasm,cyt_mixed__FGF__FGFR__FGF__FGFR__P3C2A__PIP_ ; cyt_cong__FGF__FGFR__FGF__FGFR__P3C2A_ + cyt_comp__PIP_,kRP32_24_1*cyt_mixed__FGF__FGFR__FGF__FGFR__P3C2A__PIP_
1588,vRP32_25,Cytoplasm,cyt_mixed__FGF__FGFR__FGFR__P3C2A__PIP_ ; cyt_cong__FGF__FGFR__FGFR__P3C2A_ + cyt_comp__PIP_,kRP32_25_1*cyt_mixed__FGF__FGFR__FGFR__P3C2A__PIP_
1589,vRP32_26,Cytoplasm,cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IRS__P3C2A__PIP_ ; cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IRS__P3C2A_ + cyt_comp__PIP_,kRP32_26_1*cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IRS__P3C2A__PIP_
1590,vRP32_27,Cytoplasm,cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__IRS__P3C2A__PIP_ ; cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__IRS__P3C2A_ + cyt_comp__PIP_,kRP32_27_1*cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__IRS__P3C2A__PIP_
1591,vRP32_28,Cytoplasm,cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS__P3C2A__PIP_ ; cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS__P3C2A_ + cyt_comp__PIP_,kRP32_28_1*cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__IGF__IRS__P3C2A__PIP_
1592,vRP32_29,Cytoplasm,cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS__P3C2A__PIP_ ; cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS__P3C2A_ + cyt_comp__PIP_,kRP32_29_1*cyt_cong__INS__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR__INS__IRS__P3C2A__PIP_
