old	new
E1HE3	cyt_prot__EGFR_1__NRG1_1__ERBB3_1_
HE3E3	cyt_prot__NRG1_1__ERBB3_1__ERBB3_1_
HE3E4	cyt_prot__NRG1_1__ERBB3_1__ERBB4_1_
E2HE4	cyt_prot__ERBB2_1__NRG1_1__ERBB4_1_
E1HE4	cyt_prot__EGFR_1__NRG1_1__ERBB4_1_
E3HE4	cyt_prot__ERBB3_1__NRG1_1__ERBB4_1_
HE4E4	cyt_prot__NRG1_1__ERBB4_1__ERBB4_1_
HGF_Met_Met	cyt_prot__HGF_1__MET_1__MET_1_
PPrPr	cyt_cong__PDGFB_1__PGFRB__PGFRB_
FFrFr	cyt_cong__FGF__FGFR__FGFR_
IIrIr	cyt_cong__IGF__IGF1R__IGF1R_
INS_Isr_Isr	cyt_prot__INS_1__INSR_1__INSR_1_
EE1EE1	cyt_prot__EGF_1__EGFR_1__EGF_1__EGFR_1_
EE1HE3	cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB3_1_
EE1HE4	cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB4_1_
HE3HE3	cyt_prot__NRG1_1__ERBB3_1__NRG1_1__ERBB3_1_
HE3HE4	cyt_prot__NRG1_1__ERBB3_1__NRG1_1__ERBB4_1_
HE4HE4	cyt_prot__NRG1_1__ERBB4_1__NRG1_1__ERBB4_1_
HGF_Met_HGF_Met	cyt_prot__HGF_1__MET_1__HGF_1__MET_1_
PPrPPr	cyt_cong__PDGFB_1__PGFRB__PDGFB_1__PGFRB_
FFrFFr	cyt_cong__FGF__FGFR__FGF__FGFR_
IIrIrI	cyt_cong__IGF__IGF1R__IGF__IGF1R_
INS_Isr_Isr_INS	cyt_prot__INS_1__INSR_1__INS_1__INSR_1_
E1_ppERK	cyt_cong__EGFR_1__p_p_MAPK_
E2_ppERK	cyt_cong__ERBB2_1__p_p_MAPK_
E4_ppERK	cyt_cong__ERBB4_1__p_p_MAPK_
pEE1E2	cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY1196_pY1222_pY1248_ERBB2_1_
pEE1E1	cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1_
pEE1EE1	cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1_
pEE1E3	cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__ERBB3_1_
pEE1HE3	cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__ERBB3_1_
pEE1E4	cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY1056_pY1162_pY1284_ERBB4_1_
